605.000000 529.000000 -528.000000, 155.000000 763.000000 -342.000000, 732.000000 178.000000 901.000000, 649.000000 -658.000000 613.000000, 971.000000 -443.000000 619.000000, 165.000000 -87.000000 -815.000000, -882.000000 -576.000000 -977.000000, -861.000000 629.000000 -873.000000, -446.000000 266.000000 -951.000000, -583.000000 -650.000000 927.000000, 
516.981689 527.690491 -519.104675, -444.212982 494.879242 532.975342, 470.428253 588.038818 533.984680, 214.469376 -643.580994 556.503967, 707.932495 -256.684692 410.644501, 517.076111 -531.690186 -545.369080, -509.762115 -662.276794 -520.360168, -521.325745 676.284485 -506.740875, -359.043396 10.446212 -444.774017, -603.059448 -462.285492 517.223877, 
515.008850 491.771606 -520.055664, -470.546356 502.794312 538.390015, 457.384369 585.086487 526.773315, 200.894196 -634.037354 550.867188, 674.794739 -257.547455 407.318604, 504.489838 -527.250488 -545.389221, -500.889618 -658.629639 -518.014404, -512.649963 670.712830 -505.432251, -354.814117 9.278112 -439.843201, -595.204956 -469.293854 514.969360, 
513.260132 512.286865 -525.840759, -486.854156 510.173706 542.531616, 463.367767 584.515625 525.988770, 190.981033 -633.697998 549.694336, 671.271851 -264.772797 408.032990, 498.978760 -534.216064 -546.474182, -504.273499 -659.783020 -519.859863, -469.457520 671.480530 -509.519104, -359.883240 8.444689 -434.578491, -595.828491 -473.293976 514.943726, 
530.732361 499.160339 -524.166443, -499.918488 514.581482 537.533020, 470.468445 586.980469 523.821838, 182.589401 -630.577026 546.020081, 680.255249 -274.818268 410.346008, 514.058960 -536.110657 -547.535461, -662.847900 -851.358643 -670.644470, -498.810883 681.195496 -513.087585, -375.789673 7.863808 -419.421722, -604.792419 -475.617859 514.498535, 
526.645020 512.629883 -529.317139, -514.031494 532.742615 560.246826, 460.878662 582.250488 524.796021, 163.971085 -623.730835 535.618103, 668.979309 -283.088379 415.502411, 483.457764 -541.355591 -547.245911, -588.802307 -746.523682 -608.376099, -489.054932 668.957214 -515.024048, -390.253815 -39.168732 -439.766571, -597.623962 -483.926514 495.180054, 
522.713806 509.700378 -518.898621, -510.070404 512.223450 541.643921, 461.516235 577.752930 506.281067, 149.749313 -610.512085 533.128906, 687.323853 -299.426544 422.767822, 496.129364 -540.472168 -544.994080, -1093.990967 -1385.360229 -1115.822876, -494.948975 665.577271 -507.047791, -380.898651 -35.832962 -428.647858, -608.083435 -482.154694 497.317657, 
524.013977 511.162567 -524.724670, -521.571899 526.234192 556.160400, 460.267578 570.844116 514.069641, 127.420395 -601.448853 520.541260, 685.368835 -316.899933 428.364594, 443.737244 -562.395020 -554.234009, -748.823059 -858.750000 -753.476135, -493.922333 661.947571 -509.469635, -430.052948 -188.532516 -475.546753, -614.790710 -514.354553 441.975769, 
513.436829 494.321381 -522.145386, -494.858276 503.471100 539.314941, 438.801361 567.754211 516.593567, 107.667282 -586.050537 531.444702, 680.992065 -334.601196 427.955017, 462.292999 -551.704712 -549.573120, -619.133850 -754.781616 -627.988647, -481.833618 630.951111 -499.963562, -413.087219 -156.859711 -464.866364, -617.974548 -506.200897 460.226440, 
522.574219 477.150330 -523.134888, -509.063477 501.118927 535.243347, 460.487488 565.547119 517.237000, 92.874466 -574.131836 530.783569, 687.399109 -356.491638 431.903229, 486.820465 -547.444153 -546.212158, -567.122925 -725.148682 -575.498169, -490.988464 632.635010 -501.570862, -342.347565 -110.321999 -455.734680, -606.513367 -501.731964 480.214294, 
520.963806 495.769653 -522.464600, -505.030853 502.572510 536.772095, 460.279388 563.784973 518.770874, 85.211548 -561.226074 532.843323, 680.139343 -375.975708 439.374786, 497.371033 -547.510315 -547.138367, -537.439575 -696.190613 -551.799866, -488.804382 631.836121 -505.877441, -348.191406 -76.600494 -447.893677, -605.138428 -485.838928 490.818939, 
519.871582 502.379364 -497.621918, -504.427094 510.318024 538.270264, 463.152527 553.968384 520.133606, 75.236732 -551.762878 531.290710, 678.516418 -389.279877 445.425629, 500.644226 -540.850769 -548.704895, -544.038025 -708.011230 -562.545532, -490.719147 640.716248 -510.206146, -354.234985 -51.973240 -450.052032, -624.525879 -485.944061 498.421448, 
527.145081 508.983978 -508.603180, -506.425812 513.698792 533.138062, 471.165009 552.592102 522.422913, 63.240829 -544.189575 522.776306, 706.003784 -415.938385 461.214813, 509.900269 -538.309143 -541.825562, -530.895996 -686.157593 -541.993469, -498.606476 649.611145 -510.045013, -361.644653 -39.225449 -442.830322, -641.938477 -488.251801 499.166962, 
536.105835 522.353027 -526.213867, -528.109436 542.044312 560.957153, 469.313965 541.359985 521.256653, 54.598759 -529.943604 517.204163, 689.717407 -422.953003 447.686066, 498.296387 -529.363647 -541.903564, -518.799622 -679.409912 -539.302368, -516.450500 670.794189 -532.828857, -336.150879 -24.706015 -440.737061, -647.574951 -482.929993 504.278168, 
529.320801 519.778687 -519.346924, -512.637512 528.390564 539.931885, 468.495178 543.285645 517.545715, 47.084595 -542.606812 530.581116, 645.957825 -432.053680 455.865051, 508.371857 -528.016174 -546.046448, -525.161316 -677.455627 -539.382507, -508.152069 660.928467 -518.227417, -346.818542 -5.767315 -432.618103, -651.756287 -478.252869 503.886810, 
518.160706 517.020813 -516.533691, -506.348358 529.304504 540.497070, 470.863251 540.101990 519.992188, 29.829550 -531.176941 523.935303, 664.708984 -434.248840 458.513977, 504.722107 -500.984161 -546.700989, -512.062744 -665.382080 -536.124207, -500.441986 659.269348 -516.332642, -343.911377 -1.481446 -428.732025, -650.040527 -477.206726 503.083466, 
527.479736 523.143555 -426.929626, -425.053345 531.704895 538.716858, 480.299866 543.476990 521.977478, 26.055973 -523.726074 517.451355, 674.844849 -443.495331 462.007904, 512.947632 -511.946716 -545.218567, -516.940369 -665.808167 -536.203186, -505.184631 661.015015 -515.393799, -357.419281 3.839995 -426.973206, -661.758484 -482.224213 505.583130, 
531.365784 522.623474 -473.939514, -434.344055 531.790833 535.244202, 503.355011 536.889465 537.071289, 24.622885 -538.289917 525.886475, 687.953003 -452.915588 466.476044, 525.309387 -520.480164 -554.473328, -519.878540 -666.787048 -534.186401, -506.648315 668.598877 -518.009583, -372.101501 6.293203 -429.741089, -670.117737 -474.539917 505.104401, 
523.695801 520.246704 -494.164825, -466.782745 532.227356 534.931458, 502.145721 530.609558 535.026367, 23.730621 -523.793030 513.211304, 667.762634 -453.095947 464.026672, 442.145264 -515.623352 -552.718750, -506.608948 -661.330566 -534.026123, -507.858612 673.990662 -522.586121, -368.173401 6.985696 -432.222870, -718.603271 -507.037079 548.304321, 
526.355591 516.684143 -499.885681, -485.366089 533.051941 536.339600, 504.974670 534.543884 532.727356, 8.467224 -511.352753 508.687317, 681.773315 -462.424377 458.413300, 491.603729 -518.115723 -551.681213, -525.979065 -666.589111 -527.687195, -509.635345 671.644836 -519.857117, -386.341431 13.255829 -424.553833, -683.330627 -488.395691 524.149658, 
519.877319 510.983276 -505.185181, -480.277863 531.493896 535.787842, 496.588104 534.097595 530.643250, 10.969592 -475.991852 509.468262, 670.718811 -465.334442 460.605682, 497.663513 -517.695679 -552.468140, -514.821533 -664.073975 -529.222107, -498.933289 672.962158 -518.883301, -386.585938 13.398211 -428.471130, -667.682983 -483.113617 517.926819, 
513.464172 510.531952 -506.608246, -521.127502 568.642761 569.262146, 655.279480 704.356262 691.363098, 12.331695 -479.670563 506.253540, 669.403259 -467.434967 462.860229, 499.962982 -515.947876 -548.554260, -508.537048 -663.004883 -520.643860, -498.376160 674.703003 -516.978699, -389.795532 13.804170 -430.832397, -667.965210 -485.996979 515.595337, 
511.730408 489.945831 -464.407806, -468.180756 542.036499 537.102661, 550.625732 584.112854 582.805908, 19.689047 -447.893982 504.658417, 666.608521 -437.630707 464.679718, 504.163330 -515.492249 -545.512512, -505.778381 -664.281799 -525.368713, -495.271851 673.807556 -508.361176, -396.986450 19.077198 -429.523895, -666.237427 -481.794403 512.213989, 
510.500977 503.799744 -481.331421, -458.990540 538.758850 535.926575, 518.700562 559.652588 556.677368, 19.207653 -456.379608 503.780304, 661.256042 -454.902863 465.130341, 498.460022 -516.040771 -546.715027, -496.898407 -663.536072 -529.250305, -490.133728 675.705200 -515.450317, -406.192871 16.842449 -444.757538, -658.714355 -486.373688 513.030701, 
521.596497 508.779907 -489.577667, -434.743683 535.738159 530.350830, 515.351562 544.113831 538.858276, 17.997953 -462.651459 499.028625, 546.908264 -470.307251 467.368561, 510.110535 -513.110718 -545.846130, -502.387939 -646.509094 -526.099670, -495.552704 683.798218 -514.766968, -419.338196 16.229731 -446.373169, -667.842712 -488.432922 512.442688, 
522.258545 516.447937 -505.405731, -467.421814 536.660767 533.591309, 528.186096 545.695618 544.588562, -10.459493 -461.618286 497.741608, 710.660767 -551.502502 543.872253, 507.056152 -507.553772 -546.029114, -494.962646 -664.097778 -527.467102, -487.828339 682.735657 -514.233032, -415.838501 21.539131 -448.066040, -676.492615 -494.970642 524.712402, 
519.842102 513.696106 -502.152557, -481.035889 536.219727 530.414856, 513.437439 523.091614 526.424622, 11.170957 -454.833954 481.731354, 677.079468 -517.204468 505.220093, 500.886749 -505.738495 -532.053162, -496.223877 -670.669617 -527.054138, -490.678436 685.591125 -512.804443, -414.259338 20.010027 -447.695374, -693.947693 -506.373230 531.672546, 
517.379333 512.676636 -505.467346, -486.492737 532.458740 533.153564, 505.914795 522.534546 522.881775, 7.440305 -435.123779 480.261993, 670.112854 -506.392853 495.610352, 484.194824 -509.265106 -537.417114, -494.473846 -669.764465 -527.702209, -483.928131 683.660950 -511.730591, -416.634094 19.047203 -451.340698, -666.272278 -498.218567 521.059692, 
530.298340 516.569397 -512.400024, -487.208649 537.215149 533.846313, 828.595276 861.515686 851.071960, 10.072989 -441.925476 481.854889, 676.942566 -508.041962 489.022919, 488.980164 -515.023804 -540.929382, -506.155090 -679.673645 -517.135864, -545.600464 762.746826 -565.488525, -429.868378 19.346287 -454.758820, -668.358826 -502.165955 520.330444, 
512.545837 513.210754 -429.940216, -413.972595 541.622742 523.178528, 613.479736 631.086060 632.868774, 30.288548 -397.801605 488.757568, 670.586548 -432.687866 489.929230, 498.203979 -509.918549 -539.600952, -501.740662 -676.044922 -521.643372, -508.944122 705.701294 -531.343872, -426.176910 36.365044 -454.258148, -663.997314 -497.760315 519.900269, 
503.990631 514.583984 -456.842590, -445.097504 547.676025 529.916992, 553.015137 573.237183 579.470947, 28.683073 -416.046722 491.161346, 664.610046 -455.687500 484.750031, 499.957275 -508.509857 -543.010010, -492.068176 -669.211731 -521.311035, -496.266876 691.731262 -524.933167, -428.603485 31.199369 -463.519257, -652.034424 -494.612091 520.303772, 
512.724426 513.612183 -474.446564, -470.395142 542.868225 526.311340, 349.125427 551.045898 551.603271, 25.413662 -426.763611 486.115387, 674.459290 -476.829773 479.963745, 504.259125 -509.544830 -542.094238, -496.591278 -674.754150 -522.348145, -470.446564 690.296875 -518.665039, -393.838409 25.875288 -461.473816, -717.594421 -537.776245 564.947388, 
534.535034 514.964844 -472.402069, -527.015564 528.349670 525.651794, 444.912720 533.070679 544.903503, 7.516163 -446.122742 482.279877, 717.829163 -495.354218 510.283875, 510.278198 -511.180054 -543.060852, -501.276550 -671.294189 -515.408936, -474.791321 688.635376 -518.043945, -435.506226 20.553612 -480.812958, -505.107056 -510.685791 531.416077, 
523.490234 506.289581 -485.154663, -524.275269 520.091125 526.271057, 475.161621 545.319214 551.671814, 49.108246 -437.873413 466.050293, 676.338074 -484.098206 494.267914, 502.414551 -506.482361 -541.023926, -493.474915 -670.813416 -512.516174, -468.166992 686.589783 -514.174316, -430.188385 18.169132 -472.469482, -637.147583 -540.339478 559.139099, 
528.319397 508.157013 -489.017975, -523.820435 520.189453 512.424561, 484.004669 541.623230 536.592957, 36.127010 -436.293762 461.667542, 684.542297 -486.683594 490.223358, 900.921387 -894.061584 -956.889893, -487.793945 -674.580627 -511.835754, -478.091980 694.511536 -512.901428, -439.411865 15.727464 -465.911011, -644.697876 -521.457581 538.895874, 
531.405701 421.582306 -505.157135, -515.355896 529.452454 529.407410, 490.067902 541.604553 532.381653, 46.141464 -442.973328 425.923035, 676.701477 -493.709900 395.125610, 639.847107 -635.070007 -669.354553, -392.169952 -674.308899 -524.220337, -478.579468 692.480225 -512.344055, -403.709991 -0.527761 -477.930084, -650.281494 -513.131409 530.639038, 
524.127625 451.913849 -507.051056, -502.520355 523.089294 530.804810, 488.290436 539.834961 529.363220, 41.250301 -435.922363 449.884796, 672.998108 -490.228851 425.047302, 561.868286 -555.552002 -600.094482, -425.670593 -677.235413 -508.077728, -468.485809 684.941284 -486.690765, -422.731018 -0.676955 -479.467590, -645.819702 -508.222015 521.425476, 
524.862793 478.128510 -505.207977, -505.246368 522.719421 533.216431, 487.162445 539.557983 525.776428, 36.491982 -440.875549 469.238495, 686.684265 -498.812164 457.674377, 535.184387 -532.059692 -572.418213, -455.732452 -687.636658 -519.455322, -444.077881 686.392029 -493.468414, -440.336273 0.935021 -481.833282, -650.444519 -506.804382 520.297974, 
534.789429 493.500732 -508.313751, -511.732971 524.967773 534.214539, 507.625488 546.189087 531.925049, 33.807957 -444.788147 475.812256, 710.155273 -513.451355 481.733734, 541.124390 -538.537781 -573.311462, -475.639008 -691.086243 -518.554871, -466.071075 700.179688 -501.721924, -454.213043 3.952107 -433.044495, -660.488831 -510.591187 520.748535, 
526.022278 494.309875 -508.303497, -457.893127 525.842041 537.646729, 495.502136 537.140564 522.949097, 36.375874 -440.595947 474.511108, 674.063354 -500.544800 457.793610, 507.265320 -518.883484 -553.437988, -476.221802 -681.308838 -526.413513, -465.893738 690.815002 -504.076874, -448.251129 7.926362 -448.874237, -649.955322 -517.800293 532.516296, 
529.076172 501.166718 -508.870819, -483.577454 526.426941 534.614075, 508.941925 535.797058 519.851501, 31.804243 -455.337280 488.348999, 681.206970 -496.453400 464.804901, 510.579773 -513.280884 -547.778564, -486.973969 -679.644714 -523.656189, -471.764160 688.477478 -502.921143, -454.427521 10.347778 -450.143677, -655.567200 -507.724304 524.114380, 
545.123047 522.286011 -527.823059, -491.051331 527.364380 533.284058, 506.146149 531.431152 518.371948, 28.117002 -451.250854 485.475555, 681.838501 -493.348511 469.976471, 509.860992 -511.153351 -544.940186, -488.526550 -679.430176 -522.513611, -474.433258 688.440491 -503.986572, -452.634705 11.627865 -452.010864, -659.538757 -503.875977 520.374023, 
523.902588 511.167419 -517.127319, -492.700806 526.929993 536.342529, 496.979706 516.382812 510.472443, 25.255507 -449.114868 484.784332, 674.723328 -492.021729 474.938293, 502.830994 -498.506744 -546.377380, -483.373535 -677.427734 -521.767151, -467.395752 685.967834 -504.324921, -441.352173 13.608120 -455.176666, -673.131165 -514.985168 532.490295, 
522.140747 511.872864 -513.845398, -499.774200 527.758606 536.606934, 498.755524 527.502197 513.049744, 18.862600 -465.171082 500.697144, 676.853577 -497.759827 476.666412, 542.083191 -538.142944 -580.530701, -486.725220 -676.919250 -521.102417, -482.473175 697.746704 -511.779144, -445.565643 13.721228 -455.205048, -667.195862 -505.803162 523.519348, 
514.401306 502.913391 -507.577393, -494.743317 528.112915 536.130310, 481.893311 527.489990 515.445984, 17.963364 -456.413574 490.639313, 669.369263 -489.516357 468.891418, 514.980713 -481.587524 -556.439087, -475.936646 -577.456787 -520.481384, -460.227081 690.130249 -509.430359, -427.445679 14.164109 -455.751740, -662.406433 -502.625580 517.873413, 
525.832031 514.586426 -509.092773, -497.051208 534.772156 539.938721, 496.513947 534.316711 519.962402, 16.805218 -463.090332 381.815887, 682.755371 -495.794617 474.380585, 368.554413 -502.598663 -550.720825, -492.405029 -653.090088 -530.978760, -479.159515 694.845581 -508.926575, -446.060425 36.982033 -461.353790, -666.585266 -506.203491 516.168640, 
526.077698 501.851013 -510.007721, -498.116547 529.888245 542.459778, 492.810181 529.213562 523.527832, 15.767544 -455.532654 421.642914, 671.680420 -490.025055 478.569458, 458.962921 -507.052673 -544.315186, -531.032349 -681.083069 -547.800354, -588.210022 860.068787 -625.944641, -453.537262 40.030327 -460.129272, -648.387756 -500.777496 530.605286, 
505.892303 493.387238 -485.741974, -494.458771 534.398071 518.738770, 494.075806 532.058716 519.372864, 15.856644 -455.666504 434.581146, 676.300903 -489.065308 486.233948, 490.603485 -513.042358 -548.667175, -524.848267 -675.895142 -537.750000, -525.310547 737.791809 -550.814941, -450.829010 70.834976 -456.563354, -654.919128 -500.721619 530.493530, 
479.577545 505.124908 -500.674683, -495.133148 530.403381 526.188416, 496.166931 534.228760 527.093262, 16.753538 -455.900635 443.068909, 683.007629 -496.435516 498.977417, 400.289093 -516.173401 -552.849304, -510.360840 -663.947998 -533.333984, -500.633392 714.728821 -530.463257, -445.778442 55.469650 -458.555267, -656.193054 -499.525116 531.171387, 
504.614838 502.650391 -505.319305, -502.368408 540.065613 541.702759, 494.719604 531.952820 523.301819, 18.294474 -497.506195 501.212006, 671.447937 -491.174866 484.517517, 466.071259 -511.997314 -547.276306, -518.971741 -660.948303 -527.470947, -482.459015 701.583862 -519.702759, -448.850922 45.364414 -455.286072, -657.645020 -500.315796 531.845154, 
511.598145 502.122437 -507.447327, -495.209747 533.007751 540.402222, 489.414215 528.155579 522.933472, 16.147440 -479.150665 492.385223, 668.256836 -481.332214 476.122009, 482.138519 -509.032745 -545.204346, -504.349487 -660.928894 -523.670227, -472.636932 695.386841 -510.946991, -440.302155 36.131130 -448.332977, -653.018372 -490.338104 521.914917, 
521.000366 502.160522 -505.439484, -501.711578 508.361420 533.813538, 496.391113 532.389404 518.473022, 15.384498 -473.820007 487.011810, 671.912598 -480.224884 474.244751, 499.776947 -485.189026 -542.413147, -506.005707 -667.564209 -523.874146, -478.455658 696.149109 -508.043152, -443.756226 30.544277 -446.333221, -665.676819 -490.666656 518.254211, 
523.933899 514.844604 -513.816589, -499.665375 522.542725 537.276489, 491.892456 535.648865 519.072754, 14.500241 -473.833466 485.731171, 671.629944 -483.797607 477.374481, 501.107025 -498.720276 -544.596680, -483.049103 -669.492981 -524.118408, -475.231049 692.011414 -505.813965, -445.559540 26.646235 -457.984192, -521.663757 -499.509583 520.311829, 
512.658447 510.091583 -511.329651, -501.292999 521.896667 537.510681, 489.464722 534.154114 519.482483, 44.517044 -460.668976 478.792633, 668.673035 -450.342529 480.536407, 499.526367 -499.409088 -543.858154, -485.863586 -669.345032 -522.051331, -472.214935 688.370056 -503.647278, -442.733734 22.769428 -456.513184, -615.214478 -504.879822 524.837952, 
514.562805 510.717346 -512.857117, -498.791870 525.358398 543.006531, 486.009247 540.305481 519.293884, 39.369305 -461.993134 477.866608, 671.738281 -466.838440 482.198151, 502.159607 -506.771942 -549.723022, -482.820312 -663.146545 -522.474182, -471.020508 687.722656 -502.378235, -437.946899 20.483265 -457.475555, -632.295654 -504.508148 524.364624, 
517.909363 508.861847 -513.479370, -500.230560 525.130615 540.236023, 486.769867 538.770325 519.755127, 34.132904 -460.460175 471.610107, 675.272522 -475.449738 460.988953, 467.293243 -497.768799 -559.132690, -486.813080 -670.912354 -525.096130, -474.550781 688.208801 -502.370361, -437.890656 20.502237 -456.657532, -644.411194 -502.399567 523.093567, 
522.866699 477.891541 -509.660065, -503.619263 526.078918 537.901794, 492.225403 538.242859 519.759705, 29.980371 -460.268372 476.901642, 688.270081 -485.586273 468.738800, 495.473541 -506.024323 -554.201477, -499.863922 -489.346832 -524.299133, -447.140198 690.304810 -501.210449, -444.160217 21.490562 -457.532684, -651.237549 -494.338409 521.185852, 
528.540039 492.507141 -508.923096, -503.308868 527.330750 536.249084, 492.781769 536.835754 518.881653, 29.387695 -481.528351 498.673340, 682.351196 -485.702026 473.186951, 496.054291 -520.236694 -548.696899, -507.188873 -614.637878 -536.003296, -462.843658 698.911438 -507.607361, -439.087708 58.071075 -444.932281, -655.762268 -500.224121 515.616882, 
517.582336 432.284515 -509.828278, -505.079102 528.907288 538.339050, 530.121277 575.297607 556.620605, 24.453419 -442.759338 491.362061, 698.289917 -489.719055 480.125641, 500.372253 -520.360840 -544.367493, -501.538361 -647.400330 -532.623901, -473.389343 706.721130 -488.942505, -438.291321 51.072418 -442.608459, -682.457825 -516.227417 527.883667, 
521.043152 475.796326 -504.191650, -517.490662 548.109375 561.030945, 505.005676 551.248962 528.246460, 23.058144 -440.357208 487.168701, 681.945374 -485.211609 478.412537, 499.547211 -530.083801 -541.445984, -496.341278 -657.524902 -529.336182, -466.389801 697.529602 -498.396851, -443.196503 41.150841 -446.256714, -665.314697 -510.977600 519.427307, 
521.346497 487.467255 -507.926636, -503.637146 532.298828 547.319214, 492.771851 542.286926 522.082153, 22.185478 -470.489990 521.979736, 674.378723 -483.232117 478.816742, 498.221527 -521.210693 -540.806885, -491.884918 -661.641357 -529.872620, -464.549103 688.961548 -499.870850, -443.220642 34.175732 -447.596863, -657.634460 -504.953461 516.372131, 
527.228882 464.874847 -507.321564, -617.617493 529.162720 658.554810, 493.951019 538.370117 517.203125, 19.866938 -463.924316 507.209686, 682.559875 -482.721588 474.372833, 489.730316 -520.776428 -539.343323, -500.522339 -676.409607 -532.646606, -482.462402 707.866333 -510.209503, -473.637329 29.217377 -474.028870, -661.612488 -502.772278 509.736420, 
514.950867 484.077911 -509.546356, -536.720459 523.522217 577.733398, 461.123260 539.449890 515.355225, 15.185822 -448.854492 498.006958, 671.974243 -482.346283 474.798553, 476.174072 -518.723450 -540.018799, -490.531403 -678.990723 -529.689392, -458.687012 696.705383 -476.841736, -454.367310 30.852783 -453.786407, -658.157593 -503.205566 504.124329, 
524.515137 494.125641 -511.322845, -520.476196 520.903076 555.867737, 475.159241 539.950134 515.947510, 14.216489 -455.721680 500.438110, 676.730652 -483.411285 474.050873, 506.890656 -530.821777 -555.795288, -490.394318 -674.335571 -529.356506, -464.527161 695.684998 -481.206390, -454.909424 27.495960 -458.232269, -626.091614 -507.158356 504.930145, 
521.020020 495.424652 -511.887421, -514.004211 521.659973 483.760803, 485.881622 544.285950 522.040771, 22.356535 -450.988922 493.267151, 671.933228 -481.396759 472.922272, 501.296478 -517.411133 -547.005859, -489.499176 -675.008545 -530.952576, -463.990326 694.533020 -488.247101, -437.253265 23.137022 -461.784363, -652.453674 -508.978790 510.171692, 
522.346558 499.322052 -507.902252, -510.368774 522.977966 516.367371, 474.610504 539.990723 520.061279, 20.879791 -449.614532 490.199738, 636.042969 -500.563385 488.549561, 506.803894 -514.302063 -540.712097, -553.954834 -759.206055 -592.061096, -470.872833 693.599304 -503.325226, -443.556244 18.872782 -468.969482, -661.032410 -506.451172 511.740295, 
524.080078 502.133179 -506.936279, -510.500885 523.925415 526.699890, 487.497742 537.215393 519.194397, 7.882383 -467.481720 497.412598, 625.721008 -493.622375 486.699951, 509.431274 -527.467346 -549.995667, -514.513062 -533.500183 -540.805176, -472.474274 691.463928 -505.116394, -440.123749 -1.015668 -467.706909, -661.401917 -507.682251 506.321533, 
